event	stage	breaker 1 (red)	breaker 2 (blue)	winner	battle rounds	number of judges	breaker 1 round wins	breaker 2 round wins	tie rounds	breaker 1 vote count	breaker 2 vote count	tie vote count	judge 1 name	judge 2 name	judge 3 name	judge 4 name	judge 5 name	judge 6 name	judge 7 name	judge 8 name	judge 9 name	r1j1over	r1j2over	r1j3over	r1j4over	r1j5over	r1j6over	r1j7over	r1j8over	r1j9over	r2j1over	r2j2over	r2j3over	r2j4over	r2j5over	r2j6over	r2j7over	r2j8over	r2j9over	r3j1over	r3j2over	r3j3over	r3j4over	r3j5over	r3j6over	r3j7over	r3j8over	r3j9over																
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Lego Sam	Sam	Lego Sam	2	5	2	0	0	8	2	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					red	red	blue	red	red					red	red	red	red	blue																													
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Knine	Kuzya	Kuzya	2	5	0	2	0	0	10	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					blue	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Jamal	Sky	Jamal	3	5	2	1	0	9	4	2	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					red	blue	red	red	red					blue	blue	blue	red	red					red	tie	red	tie	red																				
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Lussy Sky	Onel	Onel	2	5	0	2	0	4	6	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					blue	blue	blue	red	red					red	blue	blue	red	blue																													
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Panda	Sam	Sam	3	5	1	2	0	7	8	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					blue	red	blue	blue	red					red	blue	red	blue	red					red	blue	blue	blue	red																				
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Lego Sam	Shigekix	Lego Sam	3	5	2	1	0	8	4	3	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					red	red	blue	blue	blue					red	red	tie	red	red					red	tie	blue	tie	red																				
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Ami	Kuzya	Kuzya	2	5	0	2	0	0	10	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					blue	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Knine	Bbosa	Knine	2	5	2	0	0	9	1	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					red	red	red	red	red					red	red	blue	red	red																													
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Duk	Sky	Sky	2	5	0	2	0	2	8	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					blue	blue	blue	blue	blue					blue	red	blue	blue	red																													
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Jamal	Mounir	Jamal	2	5	2	0	0	7	2	1	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					red	blue	tie	red	red					red	blue	red	red	red																													
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Onel	Noé	Onel	4	5	2	1	1	10	9	1	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					red	red	red	red	red					blue	blue	blue	blue	blue					blue	red	blue	tie	red					blue	red	red	blue	red											
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	T.Swing	Lussy Sky	Lussy Sky	2	5	0	2	0	0	10	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					blue	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
Solverde World Battle - The B-Boy Gala 2018	1vs1 Breaking Top 8 Knock-Out	Kuzya	Ratin	Kuzya	3	3	3	0	0	9	0	0	Greku	Kid Glyde	Kawa							red	red	red							red	red	red							red	red	red																						
Solverde World Battle - The B-Boy Gala 2018	1vs1 Breaking Top 8 Knock-Out	Ratin	Foundkid	Ratin	3	3	2	1	0	6	3	0	Greku	Kid Glyde	Kawa							blue	blue	blue							red	red	red							red	red	red																						
Solverde World Battle - The B-Boy Gala 2018	1vs1 Breaking Top 8 Knock-Out	Kuzya	Lorenzo	Kuzya	2	3	2	0	0	5	1	0	Greku	Kid Glyde	Kawa							red	red	red							red	blue	red																															
Solverde World Battle - The B-Boy Gala 2018	1vs1 Breaking Top 8 Knock-Out	Kazuki Rok	Foundkid	Foundkid	2	3	0	2	0	2	4	0	Greku	Kid Glyde	Kawa							blue	blue	red							blue	red	blue																															
Solverde World Battle - The B-Boy Gala 2018	1vs1 Breaking Top 8 Knock-Out	Johnny Fox	Ratin	Ratin	3	3	1	2	0	4	5	0	Greku	Kid Glyde	Kawa							red	blue	red							blue	red	blue							blue	blue	red																						
Solverde World Battle - The B-Boy Gala 2018	1vs1 Breaking Top 8 Knock-Out	Lorenzo	Nastya	Lorenzo	2	3	2	0	0	6	0	0	Greku	Kid Glyde	Kawa							red	red	red							red	red	red																															
Solverde World Battle - The B-Boy Gala 2018	1vs1 Breaking Top 8 Knock-Out	Kuzya	Perninha	Kuzya	2	3	2	0	0	6	0	0	Greku	Kid Glyde	Kawa							red	red	red							red	red	red																															
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Gun	Lil G	Lil G	3	5	1	2	0	6	9	0	Ken Swift	Poe One	Reveal	Kid David	Kowloon					red	red	red	red	blue					blue	blue	blue	blue	blue					blue	red	blue	red	blue																				
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Vicious	Lil G	Lil G	3	5	0	2	1	2	12	1	Ken Swift	Poe One	Reveal	Kid David	Kowloon					blue	blue	blue	blue	blue					blue	red	red	blue	tie					blue	blue	blue	blue	blue																				
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	River	Gun	Gun	2	5	0	2	0	1	8	1	Ken Swift	Poe One	Reveal	Kid David	Kowloon					tie	blue	red	blue	blue					blue	blue	blue	blue	blue																													
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Sniper	Lil G	Lil G	3	5	1	2	0	4	10	1	Ken Swift	Poe One	Reveal	Kid David	Kowloon					blue	blue	blue	blue	blue					red	tie	red	red	red					blue	blue	blue	blue	blue																				
