event,stage,breaker 1 (red),breaker 2 (blue),winner,battle rounds,number of judges,breaker 1 round wins,breaker 2 round wins,breaker 1 vote count,breaker 2 vote count,judge 1 name ,judge 2 name,judge 3 name,judge 4 name,judge 5 name,judge 6 name ,judge 7 name,judge 8 name,judge 9 name,r1j1over,r1j2over,r1j3over,r1j4over,r1j5over,r1j6over,r1j7over,r1j8over,r1j9over,r2j1over,r2j2over,r2j3over,r2j4over,r2j5over,r2j6over,r2j7over,r2j8over,r2j9over,r3j1over,r3j2over,r3j3over,r3j4over,r3j5over,r3j6over,r3j7over,r3j8over,r3j9over,r4j1over,r4j2over,r4j3over,r4j4over,r4j5over,r4j6over,r4j7over,r4j8over,r4j9over,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 Open Breaking Top 16 KnockOut,JET LEG,Romarjo_PTK,JET LEG,2,5,2,0,9,1,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,2,-3,-8,-100,-47,,,,,-1,-2,-44,-79,-37,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 Open Breaking Top 16 KnockOut,Exaggerate,The Law,Exaggerate,2,5,2,0,9,1,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,-21,-16,-100,86,-56,,,,,-11,-8,-100,-100,-49,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 Open Breaking Top 16 KnockOut,Wose,The Space Ninja,The Space Ninja,2,5,0,2,0,10,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,9,14,70,94,61,,,,,11,18,100,100,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 Open Breaking Top 16 KnockOut,warfoot,Mac1,warfoot,2,5,2,0,9,1,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,1,-15,-73,-88,-32,,,,,-14,-22,-100,-100,-68,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 Open Breaking Top 16 KnockOut,Victor Jay,SuperVen,Victor Jay,3,5,2,1,8,7,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,-3,7,31,-78,25,,,,,-1,-3,76,100,-10,,,,,-7,-5,26,79,-6,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 Open Breaking Top 16 KnockOut,Slick Johnny,Thesis,Thesis,2,5,0,2,0,10,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,2,23,57,80,51,,,,,8,26,100,82,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 Open Breaking Top 16 KnockOut,Romarjo_PTK,Rhythm Box,Romarjo_PTK,2,5,2,0,6,4,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,5,9,-28,-78,-15,,,,,18,-3,22,-79,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 Open Breaking Top 16 KnockOut,Kai,JET LEG,JET LEG,2,5,0,2,0,10,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,41,39,100,100,58,,,,,31,24,100,100,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 Open Breaking Top 16 KnockOut,Fon,The Law,The Law,2,5,0,2,1,9,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,18,7,57,100,34,,,,,29,11,28,100,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 Open Breaking Top 16 KnockOut,Exaggerate,Aleon,Exaggerate,2,5,2,0,7,3,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,-3,-24,-41,100,-22,,,,,1,-5,-12,-100,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
